gram_size,복합명사,빈도
2,관객_대화,173
4,무용_역사_기록_학회,172
3,역사_기록_학회,172
2,파리오페라발레_단,172
2,지원_공모,172
2,문화_예술인,172
3,지원_사업_선정,171
2,무용단_창단,171
2,안무_출연,171
3,한국_문화_예술,169
2,제작_과정,169
2,작업_과정,169
2,민속_무용,168
2,종묘_제례,167
2,제례_악,167
2,안무가_육성,167
2,모던_발레,167
2,역량_강화,166
2,선정_작,166
2,클래식_음악,166
2,다양_형태,166
3,예술_감독_안무,165
2,무용_연구소,165
2,무용수_직업,165
2,참가_신청,164
2,오페라_극장,164
2,검정_색,163
2,서울시_발레단,163
2,대표_레퍼토리,163
2,지원_시스템,163
2,남녀_무용수,162
2,사랑_이야기,162
2,제작_지원,162
3,국제_무용_축제,161
2,조선_시대,161
2,단체_운영,161
2,예술_센터,161
2,거리_예술,161
2,베스트_작품,160
2,극장_해오름극장,159
2,이애주_선생,159
2,의미_부여,159
2,결과_발표,159
2,무용_콩쿠르,159
2,솔로_작품,159
2,한국_일본,159
2,오페라_하우스,158
2,전용_극장,158
2,중요_무형,158
3,중요_무형_문화재,157
3,공연_예술_분야,157
3,발레단_예술_감독,156
2,코로나_사태,156
3,공연_예술_축제,156
3,국립_극장_해오름극장,155
3,부산_시립_무용단,155
3,한국_무용_현대,155
2,프로그램_북,155
2,모집_공고,154
2,협회_한국,154
2,컨템포러리_발레,153
2,안무_상,153
3,대전_시립_무용단,152
2,모던_테이블,152
2,석_원,152
2,감독_선임,152
2,몸_언어,152
3,현대_무용_발레,151
2,박금슬_선생,151
2,무대_세트,151
2,상설_공연,151
2,시_댄스,151
2,미디어_아트,150
2,해외_초청,150
2,관객_입장,150
2,신체_움직임,150
2,공공_극장,150
2,야외_공연,150
2,해외_안무가,150
2,공립_무용단,149
2,무용_학원,149
2,무용단_대표,149
2,무용단_정기,148
2,안무가_의도,148
3,서울_아트_마켓,147
4,국제_공연_예술_프로젝트,147
2,무형_유산,147
2,아트_홀,147
3,안무_창작_공연,147
2,원_석,147
2,국제_무용제,147
2,사업_추진,147
2,전통_연희,147
2,프로그램_개발,147
2,관객_반응,147
2,춤_제전,147
2,다양_분야,147
2,단체_선정,147
2,전국_무용제,146
2,댄스_하우스,146
2,공연_리뷰,146
2,예술_완성도,146
3,종묘_제례_악,145
3,예술_지원_사업,145
2,수상자_선정,145
4,한국_춤_비평가_상,144
2,대학_졸업,144
2,역할_수행,144
3,국립_무용단_예술,143
2,무트_댄스,143
2,리을_무용단,143
2,국제_협업,143
2,현대_해석,143
2,사업_공고,142
2,무용_협동조합,142
2,공간_활용,142
2,국제_현대,142
2,무용수_기량,141
